Job profession,Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist,P1,P2,P3,P4,P5,P6,P7,P8
"Astronomer
",11,5,12,16,17,11,18,19,1,0,1,2,2,1.0,2,2.0
"Astronomer
",12,6,12,16,16,11,18,19,1,0,1,2,2,1.0,2,2.0
"Astronomer
",13,7,12,16,15,11,18,19,1,0,1,2,2,1.0,2,2.0
"Astronomer
",14,8,12,16,19,11,18,19,1,0,1,2,2,1.0,2,2.0
"Astronomer
",13,9,12,16,20,11,19,19,1,0,1,2,2,1.0,2,2.0
"Astronomer
",12,8,12,16,17,11,19,19,1,0,1,2,2,1.0,2,2.0
"Astronomer
",11,7,12,16,16,11,19,19,1,0,1,2,2,1.0,2,2.0
"Astronomer
",14,6,12,16,15,11,19,19,1,0,1,2,2,1.0,2,2.0
"Astronomer
",11,5,12,16,19,11,19,19,1,0,1,2,2,1.0,2,2.0
"Astronomer
",12,5,13,16,20,12,19,19,1,0,1,2,2,1.0,2,2.0
"Astronomer
",13,6,13,16,17,12,19,19,1,0,1,2,2,1.0,2,2.0
"Astronomer
",14,7,13,16,16,12,19,19,1,0,1,2,2,1.0,2,2.0
"Astronomer
",13,8,13,17,15,12,19,19,1,0,1,2,2,1.0,2,2.0
"Astronomer
",12,9,13,17,19,12,19,19,1,0,1,2,2,1.0,2,2.0
"Astronomer
",11,8,13,17,20,12,19,18,1,0,1,2,2,1.0,2,2.0
"Astronomer
",14,7,13,17,15,12,19,18,1,0,1,2,2,1.0,2,2.0
"Astronomer
",11,6,13,17,15,12,20,18,1,0,1,2,2,1.0,2,2.0
"Astronomer
",12,5,13,18,16,12,20,18,1,0,1,2,2,1.0,2,2.0
"Astronomer
",13,5,13,18,16,12,20,18,1,0,1,2,2,1.0,2,2.0
"Astronomer
",14,6,14,18,17,13,20,18,1,0,1,2,2,1.0,2,2.0
