PH-121,HS-101,CY-105,HS-105/12,MT-111,CS-105,CS-106,EL-102,EE-119,ME-107,CS-107,HS-205/20,MT-222,EE-222,MT-224,CS-210,CS-211,CS-203,CS-214,EE-217,CS-212,CS-215,MT-331,EF-303,HS-304,CS-301,CS-302,TC-383,MT-442,EL-332,CS-318,CS-306,CS-312,CS-317,CS-403,CS-421,CS-406,CS-414,CS-419,CS-423,CS-412,CGPA
8.0,4.0,5.0,6.0,5.0,4.0,3.0,5.0,8.0,5.0,5.0,10.0,3.0,11.0,8.0,7.0,4.0,4.0,3.0,12.0,3.0,5.0,6.0,5.0,7.0,9.0,6.0,7.0,10.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,11.0,12.0,5.0,9.0,11.0,2.205
12.0,3.0,4.0,3.0,8.0,6.0,3.0,12.0,4.0,3.0,10.0,7.0,8.0,5.0,4.0,4.0,3.0,6.0,3.0,8.0,6.0,3.0,4.0,3.0,5.0,11.0,4.0,5.0,5.0,6.0,11.0,3.0,4.0,3.0,6.0,3.0,11.0,8.0,6.0,6.0,9.0,2.008
12.0,9.0,12.0,8.0,10.0,12.0,8.0,10.0,11.0,11.0,8.0,11.0,12.0,12.0,12.0,12.0,6.0,12.0,11.0,12.0,11.0,12.0,12.0,7.0,12.0,10.0,11.0,9.0,12.0,10.0,11.0,11.0,9.0,9.0,12.0,6.0,12.0,12.0,12.0,11.0,12.0,3.608
3.0,7.0,4.0,3.0,3.0,11.0,4.0,5.0,3.0,7.0,3.0,9.0,4.0,8.0,3.0,6.0,10.0,7.0,3.0,4.0,3.0,3.0,4.0,3.0,8.0,3.0,8.0,4.0,5.0,4.0,10.0,5.0,4.0,6.0,4.0,5.0,8.0,9.0,7.0,7.0,7.0,1.906
11.0,11.0,11.0,10.0,12.0,12.0,11.0,10.0,12.0,11.0,6.0,12.0,12.0,11.0,11.0,11.0,8.0,12.0,11.0,12.0,11.0,11.0,7.0,5.0,11.0,8.0,11.0,7.0,11.0,11.0,8.0,11.0,8.0,10.0,10.0,8.0,11.0,12.0,11.0,11.0,12.0,3.448
12.0,8.0,9.0,4.0,7.0,11.0,7.0,9.0,10.0,10.0,5.0,11.0,8.0,10.0,11.0,10.0,9.0,11.0,9.0,11.0,11.0,7.0,10.0,5.0,11.0,8.0,7.0,9.0,11.0,11.0,8.0,10.0,6.0,8.0,7.0,7.0,11.0,11.0,10.0,8.0,9.0,3.026
8.0,5.0,11.0,3.0,11.0,9.0,12.0,10.0,11.0,10.0,11.0,12.0,6.0,7.0,5.0,8.0,8.0,10.0,6.0,12.0,7.0,5.0,7.0,7.0,10.0,10.0,9.0,5.0,10.0,11.0,6.0,7.0,8.0,6.0,10.0,8.0,12.0,11.0,10.0,10.0,12.0,2.957
10.0,10.0,7.0,6.0,6.0,11.0,5.0,11.0,9.0,11.0,10.0,12.0,10.0,10.0,6.0,11.0,10.0,11.0,6.0,11.0,7.0,6.0,6.0,7.0,11.0,4.0,11.0,6.0,11.0,9.0,9.0,10.0,4.0,10.0,10.0,6.0,12.0,10.0,11.0,11.0,11.0,3.043
11.0,6.0,11.0,4.0,9.0,11.0,11.0,11.0,10.0,11.0,11.0,12.0,12.0,11.0,8.0,11.0,11.0,12.0,8.0,6.0,7.0,7.0,11.0,5.0,10.0,9.0,9.0,10.0,12.0,11.0,10.0,11.0,10.0,9.0,8.0,7.0,12.0,11.0,10.0,11.0,12.0,3.358
12.0,9.0,7.0,9.0,9.0,11.0,6.0,8.0,11.0,12.0,7.0,11.0,8.0,12.0,11.0,12.0,8.0,12.0,8.0,11.0,8.0,11.0,9.0,10.0,11.0,8.0,8.0,7.0,9.0,10.0,8.0,11.0,7.0,8.0,10.0,8.0,12.0,12.0,11.0,9.0,12.0,3.247
11.0,8.0,10.0,5.0,5.0,8.0,7.0,8.0,12.0,11.0,4.0,12.0,8.0,11.0,3.0,10.0,8.0,9.0,7.0,11.0,4.0,6.0,10.0,6.0,11.0,6.0,9.0,4.0,11.0,6.0,11.0,10.0,6.0,8.0,5.0,5.0,9.0,10.0,8.0,5.0,10.0,2.681
11.0,6.0,11.0,7.0,5.0,12.0,8.0,10.0,11.0,11.0,11.0,12.0,10.0,11.0,11.0,12.0,11.0,12.0,12.0,12.0,11.0,11.0,8.0,7.0,11.0,7.0,8.0,9.0,11.0,12.0,8.0,11.0,11.0,8.0,10.0,6.0,12.0,11.0,8.0,7.0,11.0,3.281
9.0,6.0,11.0,6.0,8.0,9.0,4.0,6.0,10.0,11.0,11.0,8.0,10.0,10.0,11.0,7.0,5.0,9.0,5.0,8.0,4.0,3.0,10.0,4.0,11.0,11.0,8.0,6.0,11.0,8.0,9.0,7.0,5.0,6.0,5.0,6.0,12.0,11.0,8.0,11.0,10.0,2.792
12.0,5.0,11.0,5.0,9.0,11.0,7.0,11.0,11.0,11.0,5.0,12.0,10.0,12.0,11.0,11.0,9.0,11.0,7.0,12.0,10.0,10.0,6.0,11.0,11.0,11.0,11.0,10.0,6.0,12.0,11.0,11.0,9.0,11.0,11.0,10.0,11.0,12.0,12.0,11.0,12.0,3.523
12.0,6.0,11.0,7.0,11.0,12.0,8.0,11.0,11.0,12.0,6.0,11.0,8.0,11.0,12.0,10.0,8.0,11.0,8.0,6.0,11.0,10.0,9.0,4.0,11.0,11.0,11.0,7.0,6.0,12.0,11.0,11.0,7.0,11.0,11.0,10.0,11.0,6.0,12.0,12.0,12.0,3.443
11.0,5.0,8.0,3.0,8.0,10.0,8.0,11.0,9.0,11.0,6.0,9.0,11.0,8.0,8.0,8.0,7.0,11.0,7.0,12.0,3.0,8.0,6.0,8.0,11.0,5.0,11.0,5.0,12.0,6.0,6.0,8.0,9.0,6.0,8.0,7.0,11.0,11.0,7.0,5.0,11.0,2.777
11.0,5.0,12.0,4.0,11.0,12.0,9.0,11.0,11.0,12.0,9.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,10.0,12.0,9.0,10.0,12.0,8.0,10.0,6.0,11.0,8.0,12.0,11.0,7.0,8.0,6.0,8.0,9.0,7.0,10.0,11.0,8.0,9.0,11.0,3.248
8.0,5.0,6.0,3.0,3.0,7.0,4.0,9.0,10.0,4.0,3.0,10.0,3.0,8.0,3.0,4.0,7.0,10.0,6.0,6.0,4.0,3.0,4.0,6.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,11.0,6.0,5.0,4.0,5.0,1.787
12.0,5.0,12.0,7.0,11.0,12.0,11.0,12.0,12.0,12.0,9.0,11.0,12.0,11.0,11.0,11.0,10.0,12.0,11.0,11.0,9.0,11.0,11.0,5.0,8.0,12.0,11.0,10.0,12.0,11.0,11.0,11.0,8.0,11.0,11.0,8.0,11.0,12.0,11.0,11.0,12.0,3.572
10.0,6.0,11.0,5.0,11.0,10.0,11.0,11.0,12.0,12.0,10.0,12.0,11.0,12.0,11.0,11.0,11.0,12.0,10.0,11.0,10.0,12.0,11.0,5.0,9.0,11.0,10.0,9.0,11.0,12.0,9.0,8.0,6.0,10.0,11.0,10.0,11.0,6.0,11.0,11.0,12.0,3.483
10.0,6.0,9.0,4.0,8.0,5.0,5.0,5.0,5.0,11.0,4.0,11.0,8.0,4.0,10.0,8.0,5.0,8.0,5.0,11.0,3.0,4.0,6.0,4.0,8.0,4.0,8.0,5.0,9.0,6.0,6.0,6.0,4.0,5.0,5.0,4.0,10.0,10.0,6.0,8.0,11.0,2.246
9.0,10.0,8.0,6.0,11.0,11.0,4.0,7.0,9.0,6.0,6.0,9.0,9.0,11.0,7.0,8.0,7.0,9.0,5.0,10.0,7.0,6.0,11.0,10.0,10.0,11.0,10.0,9.0,11.0,5.0,9.0,6.0,7.0,10.0,6.0,7.0,12.0,12.0,11.0,10.0,11.0,2.956
10.0,7.0,8.0,7.0,5.0,11.0,8.0,7.0,11.0,7.0,8.0,11.0,4.0,12.0,8.0,10.0,3.0,11.0,8.0,11.0,10.0,8.0,9.0,5.0,9.0,9.0,11.0,7.0,11.0,10.0,8.0,10.0,5.0,9.0,7.0,5.0,12.0,11.0,10.0,8.0,11.0,2.953
12.0,11.0,12.0,11.0,12.0,12.0,8.0,11.0,10.0,12.0,9.0,11.0,10.0,11.0,12.0,11.0,11.0,12.0,11.0,12.0,10.0,11.0,11.0,8.0,10.0,10.0,11.0,11.0,12.0,11.0,11.0,11.0,8.0,8.0,11.0,8.0,10.0,12.0,11.0,11.0,11.0,3.586
12.0,8.0,11.0,9.0,10.0,11.0,9.0,12.0,12.0,11.0,7.0,12.0,9.0,11.0,11.0,12.0,9.0,12.0,11.0,11.0,11.0,11.0,12.0,8.0,10.0,11.0,9.0,8.0,12.0,12.0,9.0,9.0,8.0,10.0,9.0,8.0,11.0,12.0,11.0,11.0,12.0,3.475
