Mathematics,Kiswahili,English,Arabic,German,French,Chemistry,Physics,Biology,Home Science,Agriculture,Computer Studies,History,Geography,Religious Education,Life Skills,Business Studies,Music,Art and Design,Drawing and Design,Building Construction,Power and Mechanics,Metalwork,Aviation,Woodwork,Electronics,interests,skills,target_course_id
D+,D-,D-,C+,C-,B+,C,A,B-,D+,B-,A,B-,D+,B,D-,D+,D,D+,A-,E,B-,D+,D-,A,B,"Problem Solving, Building things","Manual Dexterity, Logical Thinking, Programming",1
B+,A-,C-,C-,B-,C,E,C,C,B-,E,D,C+,C,C+,D-,B-,D+,E,A-,C-,B+,D+,A,A,E,"Programming, Science, Healthcare, Problem Solving","Logical Thinking, Programming, Research, Creativity, Problem Solving, Manual Dexterity",1
B-,D-,B-,D-,C-,E,C+,A-,A,A,D-,A-,B-,B+,D,A,D+,B+,E,D+,E,B-,E,B+,B+,E,"Programming, Sports","Logical Thinking, Programming, Teamwork, Problem Solving, Empathy",1
A,C,C,D+,D+,D+,C+,C-,B+,A-,C-,C+,D-,B-,B-,C-,D+,A-,C-,B+,D+,D,B-,E,D+,A-,"Music, Problem Solving","Logical Thinking, Programming, Problem Solving, Manual Dexterity, Analytical Skills, Communication",1
D,B,B,C+,A,A-,B+,B,C+,A,A,B,C,C,C,C+,B-,C,C,C,C-,D,D+,C,C,D+,"Logical Thinking, Sports, Management","Communication, Logical Thinking, Problem Solving, Leadership",1
C,B+,C,B+,E,D-,A-,A-,C-,D,D,A-,D,A-,A-,D+,E,C,C,E,B,C+,C+,C+,C,B+,"Music, Problem Solving","Logical Thinking, Programming, Teamwork, Research, Communication, Empathy",1
B,B-,D,C-,B,D+,B-,A,C,B+,C-,D+,A-,B,A-,A-,B-,B+,B+,D,D+,D+,C,B-,D,B+,"Logical Thinking, Technology, Building things","Logical Thinking, Problem Solving, Manual Dexterity, Leadership, Analytical Skills, Communication",1
A-,A,C,B-,C+,D-,B,B+,A,C-,D+,D-,C,D+,B+,C-,B,B,D+,A,A,D,B+,D,B-,A,"Logical Thinking, Programming, Technology, Building things","Communication, Logical Thinking, Problem Solving",1
B+,A-,C+,A,C+,A,B,B+,C,B-,C+,D,D-,A,B,A,B+,C+,A,C-,B,C-,A,A,E,B,"Science, Programming","Logical Thinking, Programming, Creativity, Problem Solving, Analytical Skills",1
A,E,B-,B-,C+,D+,B,C-,B-,C,B,C+,B,D+,D,C,D+,B+,C+,B+,D+,C+,E,D,B,B+,"Programming, Music, Sports, Management","Communication, Programming, Problem Solving",1
A-,C,C-,E,D+,D-,B+,B+,B,C-,A-,E,D,E,D-,C+,B+,D,D,C-,E,A,B-,A,A-,B-,"Healthcare, Debating, Problem Solving","Logical Thinking, Programming, Leadership, Communication, Empathy",1
C-,A-,D-,C,B,B,B,C+,C-,B,B+,D+,B+,D+,B,E,D+,C-,C,D+,D+,D-,B+,A-,C-,C-,"Art, Logical Thinking, Science, Management","Programming, Research, Creativity, Problem Solving, Manual Dexterity, Communication",1
A,C,E,C-,C,D-,E,B-,C+,A-,D-,C,C-,D+,A,B-,A,B+,B+,A,A-,D+,A,A,D-,E,"Programming, Music","Logical Thinking, Programming, Teamwork, Leadership, Analytical Skills",1
B,D,D,B+,D-,D-,B+,A,A,C-,C+,E,C+,E,C,C-,D+,B,A-,A,B,B-,E,E,B-,C+,"Healthcare, Programming, Technology","Logical Thinking, Programming, Problem Solving, Leadership, Communication",1
A,B,D+,D+,A-,D,B+,C+,D,A-,D,B,A,D-,D,D,C-,D,B,D,B+,B+,B,B+,B,A-,"Management, Programming, Building things","Research, Logical Thinking, Programming",1
A,D,D-,D-,D-,C-,C,A,B-,B-,B,C+,B,D+,A,B,B-,D+,E,A,A,D,A,D,A-,D+,"Music, Logical Thinking, Science, Sports","Logical Thinking, Programming, Creativity",1
A,D-,C+,D+,A,A-,D,B-,A,C,E,C+,A-,A,D,C,C,B,A-,C,D+,A-,C+,D-,C,E,"Art, Logical Thinking, Music, Debating","Logical Thinking, Programming, Manual Dexterity, Communication, Empathy",1
D+,A-,D+,E,E,B,C-,D,C-,D-,E,C-,B,D-,A,B,C,D,C+,B-,C+,D-,B,B-,A-,D+,"Healthcare, Debating, Problem Solving, Building things","Programming, Teamwork, Problem Solving",1
D+,A,A-,D,C,A,B+,B-,D,B+,A,D+,A-,C+,C+,B+,A,D+,D,A,A-,D+,B-,D,E,A,"Art, Logical Thinking","Logical Thinking, Programming, Creativity, Analytical Skills, Communication, Empathy",1
C-,A,B+,D+,E,B+,D-,B+,D,D+,B,E,D,B-,D,C+,D-,B-,B+,B,D+,B+,D+,B,C+,D+,"Logical Thinking, Healthcare, Technology, Building things","Logical Thinking, Programming, Creativity, Leadership, Empathy",1
D,D-,C-,C,B-,C-,E,A,C+,A,C,C,B-,E,C,C,B+,B,C-,C,D,E,D-,B+,C,D+,"Logical Thinking, Debating","Research, Logical Thinking, Creativity, Programming",1
A,A-,B+,A-,C+,C,E,D,A,D-,C-,C+,C,C,A-,C+,C+,D,A-,E,C+,C-,D-,A,C,C,"Programming, Problem Solving","Logical Thinking, Programming, Teamwork, Leadership, Communication",1
A-,A,A,E,C,E,B,B+,C+,C-,B,A-,A-,D,C+,C-,C,C,B-,E,B-,C+,D,C-,C-,C-,"Debating, Problem Solving","Programming, Problem Solving",1
B,B-,D,D+,E,B-,D,D+,A,D+,D,C,B+,D-,D,B+,D-,B-,A,C+,A-,A,A-,E,B,E,"Science, Technology, Problem Solving","Logical Thinking, Creativity, Problem Solving, Leadership, Empathy",1
A-,D-,D-,B,B-,D-,D+,A,C-,C+,B-,C+,A-,D,A,B+,A-,A-,D,C,E,B,B-,C+,B,B+,"Logical Thinking, Music, Sports","Programming, Empathy, Problem Solving",1
A,B+,B+,A,B-,C-,D+,B,C+,B-,D+,D,C+,C+,C,A-,C,D,B,D+,C-,D+,E,B,D,A,"Programming, Building things","Logical Thinking, Teamwork, Research, Problem Solving, Leadership",1
C+,A,B+,D,C+,E,D,D+,C,B-,E,C+,B,B+,D+,C+,E,C-,D+,C,C+,D-,B+,A,C+,C+,"Logical Thinking, Healthcare, Sports","Logical Thinking, Research, Creativity, Problem Solving, Communication",1
B,A,B+,C+,D+,D,C-,B+,C+,C,A,D,C,A,D,D-,B,D-,B+,B-,D,E,E,B-,D+,B-,"Art, Problem Solving","Logical Thinking, Programming, Research, Problem Solving, Analytical Skills",1
C-,B,E,D,D-,B-,B-,B-,C-,D,C+,C+,D-,B-,B,D-,E,C-,C+,D-,D+,B+,C,C-,B,D-,"Logical Thinking, Science, Sports","Logical Thinking, Programming, Problem Solving, Leadership, Communication, Empathy",1
B-,E,A-,D-,C,A-,C,B+,A,E,A,A-,C-,B,B+,A,C-,B,D-,E,C-,C-,A,C-,A,C,"Programming, Science, Problem Solving","Logical Thinking, Problem Solving, Teamwork",1
A-,A,B-,C,A,C,A,A-,B,B+,C+,A,B,D-,D-,D-,D,D+,D,B,C,D+,D,C+,E,C+,"Technology, Logical Thinking, Music, Sports","Logical Thinking, Problem Solving, Teamwork",1
B+,A,C-,C,B-,E,D+,C,A,D,E,A-,B,D+,E,D,A-,D-,B-,E,A,A-,C+,D+,D,C-,"Debating, Problem Solving","Logical Thinking, Programming, Creativity, Manual Dexterity, Analytical Skills",1
C,C-,C+,A-,B-,D-,C,C-,A,C,D+,D+,A-,D,E,C-,B-,A-,D-,B+,B,A,C-,C-,A-,C+,"Science, Programming, Sports","Logical Thinking, Teamwork, Problem Solving, Analytical Skills, Communication",1
A,B+,D,B-,A-,D,C,B,B-,C+,B+,C,D-,C-,B+,B+,E,D,D-,D-,D+,D,D+,D-,E,B-,"Logical Thinking, Technology","Logical Thinking, Problem Solving, Analytical Skills",1
B-,C-,B+,C,A,C-,C-,B+,D-,D-,A-,C+,B,B+,D-,C+,C+,D+,D-,A-,D-,B+,B+,D-,A,B-,"Art, Healthcare, Problem Solving","Communication, Logical Thinking, Programming",1
A-,C+,D,D+,B-,D,C+,D,B,C+,D,A,A,B-,A-,A-,D,D,D+,B+,D,B+,B+,C-,C+,B,"Art, Programming, Healthcare, Debating","Logical Thinking, Creativity, Programming, Teamwork",1
A,B+,D,E,A-,D-,E,B+,B,E,B-,E,B-,D,A,C+,C,A-,E,B,D+,A,C,C-,A-,C,"Programming, Building things","Logical Thinking, Programming, Teamwork, Analytical Skills, Communication, Empathy",1
A-,D,E,C+,B-,A,A,B+,B-,D+,D+,D,B,C-,E,B-,A-,A-,C+,D+,C,B+,C,B-,B,E,Programming,"Communication, Logical Thinking, Programming",1
A-,A-,A-,D-,C+,C,B+,C-,D+,E,C+,B-,C-,C+,A,E,B+,C-,D,D-,C-,B+,B,B,A-,D-,"Programming, Technology, Management","Logical Thinking, Programming, Teamwork, Problem Solving, Communication, Empathy",1
A,D-,C-,B+,D+,D-,B+,C,A,D-,D,B,B-,A,A,A,B-,C+,B-,E,E,D+,B-,D-,B-,C-,"Healthcare, Science, Problem Solving","Logical Thinking, Research, Problem Solving, Manual Dexterity, Leadership, Empathy",1
A-,D,B+,C,C,D+,D+,B-,B+,B+,A,D,C,A-,B,D+,B+,A-,D+,D-,C-,B+,D,C-,C,A,"Logical Thinking, Sports","Communication, Programming, Empathy, Problem Solving",1
B+,D-,B,A-,A,E,A,B-,B+,E,A-,A,D,D-,D,B+,A-,B,B,C,B-,B-,D+,D+,D,B,"Programming, Logical Thinking, Technology, Sports","Logical Thinking, Programming, Creativity, Problem Solving, Leadership",1
C-,D+,B,E,D+,B-,B-,B-,E,D+,A-,D,B+,B+,D-,D+,C,D-,D-,C-,A,B-,C,B,B+,B,"Healthcare, Programming, Technology","Communication, Logical Thinking, Programming",1
B+,B,D+,B,A-,D+,B+,B-,D+,A-,C,C+,D,E,C-,B-,B+,D,C,E,D,B,C,A-,B,C,"Programming, Music, Sports, Management","Logical Thinking, Programming, Teamwork, Problem Solving, Communication",1
A,B-,C-,D,C,A,C-,A-,B+,D-,B-,C+,E,B-,B+,B-,C-,D-,D,D-,B,D,C+,C-,B+,A,"Art, Management, Logical Thinking, Building things","Logical Thinking, Manual Dexterity, Creativity, Problem Solving",1
C+,E,A,D,D+,B,D+,A-,D,C,D+,D,B-,D+,B,A-,C+,C,C-,B,C,B-,C-,D+,A,A-,"Music, Technology, Debating, Problem Solving","Logical Thinking, Research, Problem Solving, Analytical Skills, Communication",1
A,D+,D-,B+,C-,B+,B,B,D,A,C+,C+,A,C,E,D,C+,C-,C-,A-,E,B-,B,C,C+,A-,"Programming, Healthcare, Sports, Management","Manual Dexterity, Logical Thinking, Empathy, Problem Solving",1
